                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.15639,                0.20669,                0.01899,                      0,             0.00047619,                0.10714,             0.00033292,             7.3221e-05,             0.00015873,               0.035714,              9.818e-05,             1.9636e-05,                0.14207,                0.10085,                0.01151,                      0,                 0.0955,                 0.0005,                 0.0005
                      1,                0.15825,                0.15987,               0.017276,                      0,             0.00063492,                0.14286,              0.0006408,             0.00012241,             0.00015873,               0.035714,             9.6722e-05,             1.9344e-05,                0.14203,                0.10085,               0.011514,                      0,               0.090099,              0.0010989,              0.0010989
                      2,                0.15681,                0.22193,               0.017333,                      0,             0.00047619,                0.10714,             0.00033292,             6.2747e-05,             0.00015873,               0.035714,              9.818e-05,             1.9636e-05,                0.14198,                0.10083,               0.011508,                      0,               0.084697,              0.0016966,              0.0016966
                      3,                0.15803,                0.11351,               0.017607,                      0,             0.00063492,                0.14286,             0.00042237,             7.0247e-05,             0.00015873,               0.035714,             9.7537e-05,             1.9507e-05,                0.14195,                0.10083,               0.011363,                      0,               0.079293,              0.0022931,              0.0022931
                      4,                 0.1576,                0.13369,               0.017143,                      0,             0.00063492,                0.14286,             0.00094196,             0.00017391,             0.00015873,               0.035714,             9.4767e-05,             1.8953e-05,                0.14193,                0.10081,               0.011358,                      0,               0.073888,              0.0028884,              0.0028884
                      5,                0.15719,                0.12896,               0.017679,                      0,             0.00063492,                0.14286,             0.00094196,             0.00017391,             0.00015873,               0.035714,             9.4767e-05,             1.8953e-05,                0.14192,                0.10081,               0.011361,                      0,               0.068483,              0.0034825,              0.0034825
                      6,                0.15393,                0.18155,               0.017566,                      0,             0.00063492,                0.14286,             0.00049775,             8.6411e-05,             0.00015873,               0.035714,             8.7222e-05,             1.7444e-05,                0.14192,                0.10081,               0.011359,                      0,               0.063075,              0.0040754,              0.0040754
                      7,                 0.1566,               0.084196,               0.016941,                      0,             0.00063492,                0.14286,               0.001356,             0.00025756,             0.00015873,               0.035714,             9.2088e-05,             1.8418e-05,                0.14191,                0.10082,               0.011349,                      0,               0.057667,              0.0046671,              0.0046671
                      8,                0.16273,                0.13765,               0.017436,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.1419,                0.10084,               0.011345,                      0,               0.052258,              0.0052576,              0.0052576
                      9,                0.15565,                0.11435,               0.016641,                      0,             0.00063492,                0.14286,             0.00050934,             6.8281e-05,             0.00015873,               0.035714,             8.6734e-05,             8.6734e-06,                0.14188,                0.10085,               0.011377,                      0,               0.046847,              0.0058469,              0.0058469
                     10,                0.16185,                0.12567,               0.017519,                      0,             0.00047619,                0.10714,             0.00037524,             5.6099e-05,             0.00015873,               0.035714,             9.2876e-05,             9.2876e-06,                0.14186,                0.10085,               0.011389,                      0,               0.041435,               0.006435,               0.006435
                     11,                0.16012,                0.12602,               0.016946,                      0,             0.00047619,                0.10714,             0.00037711,             5.6292e-05,             0.00015873,               0.035714,             9.2906e-05,             9.2906e-06,                0.14185,                0.10087,               0.011465,                      0,               0.036022,              0.0070219,              0.0070219
                     12,                0.15564,               0.090006,               0.016507,                      0,             0.00031746,               0.071429,             0.00057573,             9.4568e-05,             0.00015873,               0.035714,             9.2486e-05,             5.5492e-05,                0.14181,                0.10087,               0.011387,                      0,               0.030608,              0.0076076,              0.0076076
                     13,                0.15904,                0.15577,               0.017174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.14134,                0.10128,               0.011732,                      0,               0.025192,              0.0081921,              0.0081921
                     14,                0.15928,                0.15594,               0.017421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.14446,                0.13023,               0.015797,                      0,               0.019775,              0.0087754,              0.0087754
